method,absolute_time,mean_relative_l2,training_seed_sd,n_training_seeds,n_test_trajectories,finite_count_min,complete_population
GIFT,5.0,0.0,0.0,3,180,180,True
GIFT,5.5,0.012096390150817057,2.242235670707681e-05,3,180,180,True
GIFT,6.0,0.012146048430392705,1.969784226668304e-05,3,180,180,True
GIFT,6.5,0.012966345678569387,2.1664806758458332e-05,3,180,180,True
GIFT,7.0,0.014543716121389189,2.6657304775325686e-05,3,180,180,True
GIFT,7.5,0.017202594527583336,1.6934285098233098e-05,3,180,180,True
GIFT,8.0,0.021034558562748256,1.160070174907921e-05,3,180,180,True
GIFT-Lite,5.0,0.0,0.0,3,180,180,True
GIFT-Lite,5.5,0.026262088663758596,0.00018810603912526694,3,180,180,True
GIFT-Lite,6.0,0.052105652687739645,9.772781401188952e-05,3,180,180,True
GIFT-Lite,6.5,0.10404214800764681,0.0005436327717512435,3,180,180,True
GIFT-Lite,7.0,0.20909203650304567,0.003450647191948213,3,180,179,False
GIFT-Lite,7.5,0.3227971613224727,0.002862306530379019,3,180,172,False
GIFT-Lite,8.0,0.4646960540872349,0.007239345815172423,3,180,163,False
FNO-2D,5.0,0.0,,1,180,180,True
FNO-2D,5.5,0.15368415068837987,,1,180,180,True
FNO-2D,6.0,0.20278474187551265,,1,180,180,True
FNO-2D,6.5,0.2539917356957683,,1,180,180,True
FNO-2D,7.0,0.3179463106299209,,1,180,180,True
FNO-2D,7.5,0.39320824677162375,,1,180,180,True
FNO-2D,8.0,0.47536770105281173,,1,180,180,True
FNO-3D,5.0,0.0,,1,180,180,True
FNO-3D,5.5,0.20780944882639543,,1,180,180,True
FNO-3D,6.0,0.2682174579012239,,1,180,180,True
FNO-3D,6.5,0.37502855226578896,,1,180,180,True
FNO-3D,7.0,0.513983282107723,,1,180,180,True
FNO-3D,7.5,0.6536371074146249,,1,180,180,True
FNO-3D,8.0,0.7706882630911234,,1,180,180,True
U-NO,5.0,0.0,,1,180,180,True
U-NO,5.5,0.019264694166920768,,1,180,180,True
U-NO,6.0,0.03164009306923321,,1,180,180,True
U-NO,6.5,0.05211800374509309,,1,180,180,True
U-NO,7.0,0.08178552024220131,,1,180,180,True
U-NO,7.5,0.12276767038787449,,1,180,180,True
U-NO,8.0,0.17380511174121643,,1,180,180,True
U-Net,5.0,0.0,,1,180,180,True
U-Net,5.5,0.19441635318350636,,1,180,180,True
U-Net,6.0,0.5118307818228666,,1,180,180,True
U-Net,6.5,0.8469702503641319,,1,180,180,True
U-Net,7.0,1.1783748621932144,,1,180,180,True
U-Net,7.5,1.4835336482545567,,1,180,180,True
U-Net,8.0,1.7479393194291928,,1,180,180,True
